,year,month,GDP
0,2018,January,14867310310533.72
1,2018,February,14968347553675.338
2,2018,March,15069384796816.953
3,2018,April,15170422039958.568
4,2018,May,15271459283100.186
5,2018,June,15372496526241.8
6,2018,July,15473533769383.416
7,2018,August,15574571012525.033
8,2018,September,15675608255666.648
9,2018,October,15776645498808.264
10,2018,November,15877682741949.88
11,2018,December,15978719985091.496
12,2019,January,15954814190676.148
13,2019,February,15930908396260.8
14,2019,March,15907002601845.453
15,2019,April,15883096807430.104
16,2019,May,15859191013014.756
17,2019,June,15835285218599.408
18,2019,July,15811379424184.06
19,2019,August,15787473629768.713
20,2019,September,15763567835353.363
21,2019,October,15739662040938.016
22,2019,November,15715756246522.668
23,2019,December,15691850452107.32
24,2020,January,15659208078712.111
25,2020,February,15626565705316.9
26,2020,March,15593923331921.691
27,2020,April,15561280958526.48
28,2020,May,15528638585131.271
29,2020,June,15495996211736.062
30,2020,July,15463353838340.852
31,2020,August,15430711464945.643
32,2020,September,15398069091550.432
33,2020,October,15365426718155.223
34,2020,November,15332784344760.012
35,2020,December,15300141971364.803
36,2021,January,15449181869110.97
37,2021,February,15598221766857.14
38,2021,March,15747261664603.309
39,2021,April,15896301562349.477
40,2021,May,16045341460095.645
41,2021,June,16194381357841.812
42,2021,July,16343421255587.982
43,2021,August,16492461153334.15
44,2021,September,16641501051080.318
45,2021,October,16790540948826.488
46,2021,November,16939580846572.656
47,2021,December,17088620744318.824
