year,month,day,Population,GDP,Renewable_energy,Price,Gas Consumption
2021,December,31,447207489.0,17088620744318.824,23.08,70.345,1960.6
2021,December,30,447207489.0,17088620744318.824,23.08,87.027,2880.0
2021,December,29,447207489.0,17088620744318.824,23.08,96.476,3208.6
2021,December,28,447207489.0,17088620744318.824,23.08,106.59,4063.2
2021,December,27,447207489.0,17088620744318.824,23.08,106.895,4442.8
2021,December,26,447207489.0,17088620744318.824,23.08,113.31625,4556.6
2021,December,25,447207489.0,17088620744318.824,23.08,119.73750000000001,4003.3
2021,December,24,447207489.0,17088620744318.824,23.08,126.15875000000001,4560.0
2021,December,23,447207489.0,17088620744318.824,23.08,132.58,6990.2
2021,December,22,447207489.0,17088620744318.824,23.08,172.875,8710.2
2021,December,21,447207489.0,17088620744318.824,23.08,180.265,8623.8
2021,December,20,447207489.0,17088620744318.824,23.08,146.926,7680.9
2021,December,19,447207489.0,17088620744318.824,23.08,143.589,5068.4
2021,December,18,447207489.0,17088620744318.824,23.08,140.25199999999998,4756.4
2021,December,17,447207489.0,17088620744318.824,23.08,136.915,5721.3
2021,December,16,447207489.0,17088620744318.824,23.08,142.765,5744.8
2021,December,15,447207489.0,17088620744318.824,23.08,132.284,5624.2
2021,December,14,447207489.0,17088620744318.824,23.08,128.301,5836.1
2021,December,13,447207489.0,17088620744318.824,23.08,116.085,6451.0
2021,December,12,447207489.0,17088620744318.824,23.08,112.64833333333333,4999.2
2021,December,11,447207489.0,17088620744318.824,23.08,109.21166666666667,6024.6
2021,December,10,447207489.0,17088620744318.824,23.08,105.775,6876.4
2021,December,9,447207489.0,17088620744318.824,23.08,100.445,7404.3
2021,December,8,447207489.0,17088620744318.824,23.08,101.502,6919.0
2021,December,7,447207489.0,17088620744318.824,23.08,95.885,6974.4
2021,December,6,447207489.0,17088620744318.824,23.08,89.928,7311.4
2021,December,5,447207489.0,17088620744318.824,23.08,89.77866666666667,5539.3
2021,December,4,447207489.0,17088620744318.824,23.08,89.62933333333334,5555.9
2021,December,3,447207489.0,17088620744318.824,23.08,89.48,6650.4
2021,December,2,447207489.0,17088620744318.824,23.08,94.83,7004.6
2021,December,1,447207489.0,17088620744318.824,23.08,95.675,6089.4
2021,November,30,447216857.9166667,16939580846572.656,22.9975,92.515,6244.5
2021,November,29,447216857.9166667,16939580846572.656,22.9975,93.146,6750.0
2021,November,28,447216857.9166667,16939580846572.656,22.9975,91.35466666666667,5122.0
2021,November,27,447216857.9166667,16939580846572.656,22.9975,89.56333333333333,5157.3
2021,November,26,447216857.9166667,16939580846572.656,22.9975,87.772,5853.8
2021,November,25,447216857.9166667,16939580846572.656,22.9975,93.3,6086.1
2021,November,24,447216857.9166667,16939580846572.656,22.9975,93.985,6038.2
2021,November,23,447216857.9166667,16939580846572.656,22.9975,90.925,5390.0
2021,November,22,447216857.9166667,16939580846572.656,22.9975,84.015,4802.2
2021,November,21,447216857.9166667,16939580846572.656,22.9975,85.05166666666666,2772.2
2021,November,20,447216857.9166667,16939580846572.656,22.9975,86.08833333333334,2624.2
2021,November,19,447216857.9166667,16939580846572.656,22.9975,87.125,3098.6
2021,November,18,447216857.9166667,16939580846572.656,22.9975,95.165,3624.5
2021,November,17,447216857.9166667,16939580846572.656,22.9975,95.005,3997.3
2021,November,16,447216857.9166667,16939580846572.656,22.9975,94.19,4496.9
2021,November,15,447216857.9166667,16939580846572.656,22.9975,79.945,4016.5
2021,November,14,447216857.9166667,16939580846572.656,22.9975,78.52166666666666,2396.5
2021,November,13,447216857.9166667,16939580846572.656,22.9975,77.09833333333333,2713.5
2021,November,12,447216857.9166667,16939580846572.656,22.9975,75.675,4046.8
2021,November,11,447216857.9166667,16939580846572.656,22.9975,74.79,3683.2
2021,November,10,447216857.9166667,16939580846572.656,22.9975,70.125,3546.8
2021,November,9,447216857.9166667,16939580846572.656,22.9975,72.587,3551.7
2021,November,8,447216857.9166667,16939580846572.656,22.9975,79.074,3575.4
2021,November,7,447216857.9166667,16939580846572.656,22.9975,77.39166666666667,1900.7
2021,November,6,447216857.9166667,16939580846572.656,22.9975,75.70933333333333,2166.1
2021,November,5,447216857.9166667,16939580846572.656,22.9975,74.027,3123.6
2021,November,4,447216857.9166667,16939580846572.656,22.9975,73.375,3255.8
2021,November,3,447216857.9166667,16939580846572.656,22.9975,76.542,3817.6
2021,November,2,447216857.9166667,16939580846572.656,22.9975,67.605,3247.2
2021,November,1,447216857.9166667,16939580846572.656,22.9975,65.619,1690.3
2021,October,31,447226226.8333333,16790540948826.488,22.915,65.36766666666666,920.3
2021,October,30,447226226.8333333,16790540948826.488,22.915,65.11633333333333,1083.0
2021,October,29,447226226.8333333,16790540948826.488,22.915,64.865,1169.5
2021,October,28,447226226.8333333,16790540948826.488,22.915,77.032,1323.3
2021,October,27,447226226.8333333,16790540948826.488,22.915,86.819,1260.6
2021,October,26,447226226.8333333,16790540948826.488,22.915,88.493,1574.2
