year,month,day,Population,GDP,Renewable_energy,Price,Gas Consumption
2022,July,31,448911666.6666667,17347798158940.996,23.6575,204.125,153.6
2022,July,30,448911666.6666667,17347798158940.996,23.6575,198.25,148.7
2022,July,29,448911666.6666667,17347798158940.996,23.6575,192.375,352.7
2022,July,28,448911666.6666667,17347798158940.996,23.6575,200.35,371.9
2022,July,27,448911666.6666667,17347798158940.996,23.6575,206.985,431.4
2022,July,26,448911666.6666667,17347798158940.996,23.6575,202.91,276.1
2022,July,25,448911666.6666667,17347798158940.996,23.6575,179.9,217.9
2022,July,24,448911666.6666667,17347798158940.996,23.6575,174.45000000000002,81.0
2022,July,23,448911666.6666667,17347798158940.996,23.6575,169.0,159.5
2022,July,22,448911666.6666667,17347798158940.996,23.6575,163.55,502.6
2022,July,21,448911666.6666667,17347798158940.996,23.6575,159.075,889.7
2022,July,20,448911666.6666667,17347798158940.996,23.6575,161.05,985.4
2022,July,19,448911666.6666667,17347798158940.996,23.6575,160.41,971.7
2022,July,18,448911666.6666667,17347798158940.996,23.6575,162.565,859.7
2022,July,17,448911666.6666667,17347798158940.996,23.6575,163.05,519.4
2022,July,16,448911666.6666667,17347798158940.996,23.6575,163.535,603.5
2022,July,15,448911666.6666667,17347798158940.996,23.6575,164.02,928.5
2022,July,14,448911666.6666667,17347798158940.996,23.6575,179.125,791.3
2022,July,13,448911666.6666667,17347798158940.996,23.6575,184.375,905.6
2022,July,12,448911666.6666667,17347798158940.996,23.6575,177.355,1228.4
2022,July,11,448911666.6666667,17347798158940.996,23.6575,168.385,787.1
2022,July,10,448911666.6666667,17347798158940.996,23.6575,171.60999999999999,178.9
2022,July,9,448911666.6666667,17347798158940.996,23.6575,174.835,173.9
2022,July,8,448911666.6666667,17347798158940.996,23.6575,178.06,420.0
2022,July,7,448911666.6666667,17347798158940.996,23.6575,185.715,516.7
2022,July,6,448911666.6666667,17347798158940.996,23.6575,173.28,366.3
2022,July,5,448911666.6666667,17347798158940.996,23.6575,166.67,272.6
2022,July,4,448911666.6666667,17347798158940.996,23.6575,163.22125,261.4
2022,July,3,448911666.6666667,17347798158940.996,23.6575,159.77249999999998,230.9
2022,July,2,448911666.6666667,17347798158940.996,23.6575,156.32375,296.5
2022,July,1,448911666.6666667,17347798158940.996,23.6575,152.875,362.5
2022,June,30,448610000.0,17310772813994.973,23.575,148.88,758.1
