,day,month,month_no,year,price
0,02,January,01,2018,19.32
1,03,January,01,2018,19.32
2,04,January,01,2018,19.2
3,05,January,01,2018,18.91
4,08,January,01,2018,19.05
5,09,January,01,2018,19.435
6,10,January,01,2018,19.32
7,11,January,01,2018,19.32
8,12,January,01,2018,19.805
9,16,January,01,2018,18.9
10,17,January,01,2018,18.44
11,18,January,01,2018,18.35
12,19,January,01,2018,18.19
13,22,January,01,2018,18.545
14,23,January,01,2018,18.2
15,24,January,01,2018,17.79
16,25,January,01,2018,17.78
17,26,January,01,2018,17.78
18,29,January,01,2018,17.395
19,30,January,01,2018,17.41
20,31,January,01,2018,17.88
21,02,January,01,2019,22.475
22,03,January,01,2019,22.25
23,04,January,01,2019,22.93
24,07,January,01,2019,21.53
25,08,January,01,2019,22.09
26,09,January,01,2019,21.72
27,10,January,01,2019,21.68
28,11,January,01,2019,22.255
29,14,January,01,2019,21.675
30,15,January,01,2019,22.0
31,16,January,01,2019,22.0
32,17,January,01,2019,23.0
33,18,January,01,2019,22.605
34,22,January,01,2019,21.82
35,23,January,01,2019,22.19
36,24,January,01,2019,21.28
37,25,January,01,2019,20.89
38,28,January,01,2019,20.55
39,29,January,01,2019,20.585
40,30,January,01,2019,20.18
41,31,January,01,2019,19.85
42,02,January,01,2020,12.07
43,03,January,01,2020,12.98
44,06,January,01,2020,12.28
45,07,January,01,2020,11.93
46,08,January,01,2020,11.965
47,09,January,01,2020,12.18
48,10,January,01,2020,11.94
49,13,January,01,2020,12.055
50,14,January,01,2020,11.3
51,15,January,01,2020,11.18
52,16,January,01,2020,11.12
53,17,January,01,2020,10.93
54,21,January,01,2020,10.775
55,22,January,01,2020,10.46
56,23,January,01,2020,10.43
57,24,January,01,2020,10.46
58,27,January,01,2020,10.53
59,28,January,01,2020,10.79
60,29,January,01,2020,10.15
61,30,January,01,2020,9.78
62,31,January,01,2020,9.755
63,04,January,01,2021,19.84
64,05,January,01,2021,18.0
65,06,January,01,2021,17.565
66,07,January,01,2021,19.305
67,08,January,01,2021,20.12
68,11,January,01,2021,22.12
69,12,January,01,2021,26.16
70,13,January,01,2021,21.5
71,14,January,01,2021,21.34
72,15,January,01,2021,20.2
73,19,January,01,2021,20.325
74,20,January,01,2021,20.26
75,21,January,01,2021,20.065
76,22,January,01,2021,21.48
77,25,January,01,2021,20.16
78,26,January,01,2021,19.51
79,27,January,01,2021,19.7
80,28,January,01,2021,20.91
81,29,January,01,2021,19.82
82,01,February,02,2018,18.15
83,02,February,02,2018,18.16
84,05,February,02,2018,17.59
85,06,February,02,2018,17.88
86,07,February,02,2018,18.16
87,08,February,02,2018,17.74
88,09,February,02,2018,17.9
89,12,February,02,2018,17.95
90,13,February,02,2018,18.305
91,14,February,02,2018,18.07
92,15,February,02,2018,17.79
93,16,February,02,2018,18.16
94,20,February,02,2018,19.77
95,21,February,02,2018,19.78
96,22,February,02,2018,19.94
97,23,February,02,2018,20.41
98,26,February,02,2018,18.69
99,27,February,02,2018,19.195
100,28,February,02,2018,17.35
101,01,February,02,2019,19.3
102,04,February,02,2019,19.355
