,month,month_no,year,inflation rate
0,January,1,2018,1.3
1,January,1,2019,1.4
2,January,1,2020,1.4
3,January,1,2021,0.9
4,January,1,2022,5.1
5,February,2,2018,1.1
6,February,2,2019,1.5
7,February,2,2020,1.2
8,February,2,2021,0.9
9,March,3,2018,1.4
10,March,3,2019,1.4
11,March,3,2020,0.7
12,March,3,2021,1.3
13,April,4,2018,1.2
14,April,4,2019,1.7
15,April,4,2020,0.3
16,April,4,2021,1.6
17,May,5,2018,2.0
18,May,5,2019,1.2
19,May,5,2020,0.1
20,May,5,2021,2.0
21,June,6,2018,2.0
22,June,6,2019,1.3
23,June,6,2020,0.3
24,June,6,2021,1.9
25,July,7,2018,2.2
26,July,7,2019,1.0
27,July,7,2020,0.4
28,July,7,2021,2.2
29,August,8,2018,2.1
30,August,8,2019,1.0
31,August,8,2020,-0.2
32,August,8,2021,3.0
33,September,9,2018,2.1
34,September,9,2019,0.8
35,September,9,2020,-0.3
36,September,9,2021,3.4
37,October,10,2018,2.3
38,October,10,2019,0.7
39,October,10,2020,-0.3
40,October,10,2021,4.1
41,November,11,2018,1.9
42,November,11,2019,1.0
43,November,11,2020,-0.3
44,November,11,2021,4.9
45,December,12,2017,1.3
46,December,12,2018,1.5
47,December,12,2019,1.3
48,December,12,2020,-0.3
49,December,12,2021,5.0
