,year,month,ren_perc
0,2018,January,18.468999999999998
1,2018,February,18.526
2,2018,March,18.583
3,2018,April,18.64
4,2018,May,18.697
5,2018,June,18.753999999999998
6,2018,July,18.811
7,2018,August,18.868
8,2018,September,18.925
9,2018,October,18.982
10,2018,November,19.039
11,2018,December,19.096
12,2019,January,19.16175
13,2019,February,19.2275
14,2019,March,19.29325
15,2019,April,19.359
16,2019,May,19.42475
17,2019,June,19.4905
18,2019,July,19.556250000000002
19,2019,August,19.622
20,2019,September,19.68775
21,2019,October,19.753500000000003
22,2019,November,19.81925
23,2019,December,19.885
24,2020,January,20.06875
25,2020,February,20.2525
26,2020,March,20.43625
27,2020,April,20.62
28,2020,May,20.80375
29,2020,June,20.9875
30,2020,July,21.17125
31,2020,August,21.355
32,2020,September,21.53875
33,2020,October,21.7225
34,2020,November,21.90625
35,2020,December,22.09
36,2021,January,22.1725
37,2021,February,22.255
38,2021,March,22.3375
39,2021,April,22.419999999999998
40,2021,May,22.502499999999998
41,2021,June,22.585
42,2021,July,22.6675
43,2021,August,22.75
44,2021,September,22.8325
45,2021,October,22.915
46,2021,November,22.9975
47,2021,December,23.08
