,day,month,month_no,year,Gas supply by Russia
0,1,May,5,2022,203.9
1,2,May,5,2022,204.7
2,3,May,5,2022,207.4
3,4,May,5,2022,206.7
4,5,May,5,2022,210.2
5,6,May,5,2022,212.4
6,7,May,5,2022,212.4
7,8,May,5,2022,215.3
8,9,May,5,2022,210.3
9,10,May,5,2022,216.3
10,11,May,5,2022,216.7
11,12,May,5,2022,217.6
12,13,May,5,2022,218.4
13,14,May,5,2022,209.7
14,15,May,5,2022,207.4
15,16,May,5,2022,207.3
16,17,May,5,2022,208.6
17,18,May,5,2022,204.7
18,19,May,5,2022,209.7
19,20,May,5,2022,209.5
20,21,May,5,2022,213.2
21,22,May,5,2022,217.2
22,23,May,5,2022,215.4
23,24,May,5,2022,216.8
24,25,May,5,2022,220.6
25,26,May,5,2022,220.6
26,27,May,5,2022,220.1
27,28,May,5,2022,218.6
28,29,May,5,2022,218.6
29,30,May,5,2022,217.2
30,31,May,5,2022,219.7
31,1,June,6,2022,215.5
32,2,June,6,2022,210.9
33,3,June,6,2022,211.7
34,4,June,6,2022,210.1
35,5,June,6,2022,202.5
36,6,June,6,2022,201.9
37,7,June,6,2022,209.1
38,8,June,6,2022,199.2
39,9,June,6,2022,201.4
40,10,June,6,2022,209.9
41,11,June,6,2022,221.1
42,12,June,6,2022,217.9
43,13,June,6,2022,218.3
44,14,June,6,2022,221.0
45,15,June,6,2022,219.9
46,16,June,6,2022,221.2
47,17,June,6,2022,223.2
48,18,June,6,2022,221.7
49,19,June,6,2022,220.4
50,20,June,6,2022,216.3
51,21,June,6,2022,212.6
52,22,June,6,2022,169.1
53,23,June,6,2022,171.2
54,24,June,6,2022,176.8
55,25,June,6,2022,180.5
56,26,June,6,2022,181.5
57,27,June,6,2022,180.5
58,28,June,6,2022,191.2
59,29,June,6,2022,214.7
60,30,June,6,2022,213.3
61,1,July,7,2022,219.1
62,2,July,7,2022,217.8
63,3,July,7,2022,217.4
64,4,July,7,2022,216.0
65,5,July,7,2022,214.9
66,6,July,7,2022,215.1
67,7,July,7,2022,216.3
68,8,July,7,2022,216.0
69,9,July,7,2022,216.9
70,10,July,7,2022,205.6
71,11,July,7,2022,205.1
72,12,July,7,2022,181.3
73,13,July,7,2022,52.9
74,14,July,7,2022,52.7
75,15,July,7,2022,52.7
76,16,July,7,2022,53.2
77,17,July,7,2022,53.1
78,18,July,7,2022,52.7
79,19,July,7,2022,55.6
80,20,July,7,2022,55.6
81,21,July,7,2022,55.7
82,22,July,7,2022,64.4
83,23,July,7,2022,211.8
84,24,July,7,2022,220.8
85,25,July,7,2022,219.3
86,26,July,7,2022,218.1
87,27,July,7,2022,215.4
88,28,July,7,2022,221.1
89,29,July,7,2022,219.1
90,30,July,7,2022,221.1
91,31,July,7,2022,215.6
92,1,August,8,2022,213.2
93,2,August,8,2022,209.8
94,3,August,8,2022,206.2
95,4,August,8,2022,206.0
96,5,August,8,2022,206.3
97,6,August,8,2022,211.6
98,7,August,8,2022,212.1
99,8,August,8,2022,211.7
100,9,August,8,2022,216.3
101,10,August,8,2022,216.3
102,11,August,8,2022,216.1
103,12,August,8,2022,213.8
104,13,August,8,2022,211.9
105,14,August,8,2022,214.0
106,15,August,8,2022,213.7
107,16,August,8,2022,213.3
108,17,August,8,2022,213.8
109,18,August,8,2022,214.7
110,19,August,8,2022,215.6
111,20,August,8,2022,218.0
112,21,August,8,2022,218.1
113,22,August,8,2022,217.0
114,23,August,8,2022,222.3
115,24,August,8,2022,223.1
116,25,August,8,2022,224.5
117,26,August,8,2022,221.8
118,27,August,8,2022,222.5
119,28,August,8,2022,223.0
120,29,August,8,2022,223.3
121,30,August,8,2022,223.7
122,31,August,8,2022,222.2
123,1,September,9,2022,210.4
124,2,September,9,2022,209.4
125,3,September,9,2022,207.8
126,4,September,9,2022,207.1
127,5,September,9,2022,207.0
128,6,September,9,2022,203.3
129,7,September,9,2022,202.8
130,8,September,9,2022,202.6
131,9,September,9,2022,202.5
132,10,September,9,2022,208.6
133,11,September,9,2022,207.1
134,12,September,9,2022,198.6
135,13,September,9,2022,202.2
136,14,September,9,2022,205.3
137,15,September,9,2022,212.5
138,16,September,9,2022,209.9
139,17,September,9,2022,211.4
140,18,September,9,2022,210.9
141,19,September,9,2022,209.1
142,20,September,9,2022,205.6
143,21,September,9,2022,206.0
144,22,September,9,2022,206.1
145,23,September,9,2022,205.4
146,24,September,9,2022,205.4
147,25,September,9,2022,204.8
148,26,September,9,2022,203.5
149,27,September,9,2022,194.5
150,28,September,9,2022,194.1
151,29,September,9,2022,195.7
152,30,September,9,2022,196.1
153,1,October,10,2022,209.2
154,2,October,10,2022,208.3
155,3,October,10,2022,206.8
156,4,October,10,2022,216.2
157,5,October,10,2022,217.9
158,6,October,10,2022,217.7
159,7,October,10,2022,217.6
160,8,October,10,2022,218.8
161,9,October,10,2022,218.2
162,10,October,10,2022,216.6
163,11,October,10,2022,217.4
164,12,October,10,2022,218.4
165,13,October,10,2022,217.5
166,14,October,10,2022,211.0
167,15,October,10,2022,210.9
168,16,October,10,2022,211.2
169,17,October,10,2022,212.0
170,18,October,10,2022,211.8
171,19,October,10,2022,212.6
172,20,October,10,2022,210.9
173,21,October,10,2022,210.8
174,22,October,10,2022,211.2
175,23,October,10,2022,212.4
176,24,October,10,2022,214.3
177,25,October,10,2022,215.1
178,26,October,10,2022,215.8
179,27,October,10,2022,216.0
180,28,October,10,2022,215.2
181,29,October,10,2022,214.7
182,30,October,10,2022,212.6
183,31,October,10,2022,209.0
184,1,November,11,2022,192.8
185,2,November,11,2022,192.1
186,3,November,11,2022,200.6
187,4,November,11,2022,201.6
188,5,November,11,2022,201.6
189,6,November,11,2022,200.7
190,7,November,11,2022,201.5
191,8,November,11,2022,203.6
192,9,November,11,2022,203.7
193,10,November,11,2022,203.5
194,11,November,11,2022,206.5
195,12,November,11,2022,206.8
196,13,November,11,2022,205.7
197,14,November,11,2022,207.1
198,15,November,11,2022,206.7
199,16,November,11,2022,206.1
200,17,November,11,2022,209.3
201,18,November,11,2022,213.5
202,19,November,11,2022,207.3
203,20,November,11,2022,204.9
204,21,November,11,2022,204.7
205,22,November,11,2022,207.6
206,23,November,11,2022,207.4
207,24,November,11,2022,207.4
208,25,November,11,2022,208.3
209,26,November,11,2022,213.7
210,27,November,11,2022,205.5
211,28,November,11,2022,204.4
212,29,November,11,2022,208.7
213,30,November,11,2022,213.9
214,1,December,12,2022,219.4
215,2,December,12,2022,220.5
216,3,December,12,2022,222.1
217,4,December,12,2022,220.5
218,5,December,12,2022,220.6
219,6,December,12,2022,221.7
220,7,December,12,2022,224.2
221,8,December,12,2022,224.6
222,9,December,12,2022,221.9
223,10,December,12,2022,221.5
224,11,December,12,2022,217.7
225,12,December,12,2022,215.2
226,13,December,12,2022,218.1
227,14,December,12,2022,218.2
228,15,December,12,2022,217.3
229,16,December,12,2022,220.1
230,17,December,12,2022,221.7
231,18,December,12,2022,219.7
232,19,December,12,2022,220.3
233,20,December,12,2022,225.3
234,21,December,12,2022,227.6
235,22,December,12,2022,229.9
236,23,December,12,2022,217.2
237,24,December,12,2022,222.5
238,25,December,12,2022,225.3
239,26,December,12,2022,222.0
240,27,December,12,2022,225.3
241,28,December,12,2022,223.9
242,29,December,12,2022,225.3
243,30,December,12,2022,219.6
244,31,December,12,2022,213.9
245,1,January,1,2023,184.3
246,2,January,1,2023,186.1
247,3,January,1,2023,185.9
248,4,January,1,2023,187.3
249,5,January,1,2023,189.1
250,6,January,1,2023,187.4
251,7,January,1,2023,190.6
252,8,January,1,2023,186.8
253,9,January,1,2023,185.6
254,10,January,1,2023,195.9
255,11,January,1,2023,193.3
256,12,January,1,2023,196.8
257,13,January,1,2023,191.7
258,14,January,1,2023,197.6
259,15,January,1,2023,195.2
260,16,January,1,2023,195.1
261,17,January,1,2023,201.2
262,18,January,1,2023,195.9
263,19,January,1,2023,196.5
264,20,January,1,2023,196.1
265,21,January,1,2023,195.6
266,22,January,1,2023,194.8
267,23,January,1,2023,192.9
268,24,January,1,2023,196.8
269,25,January,1,2023,200.8
270,26,January,1,2023,200.6
271,27,January,1,2023,200.6
272,28,January,1,2023,199.8
273,29,January,1,2023,198.7
274,30,January,1,2023,196.5
275,31,January,1,2023,199.6
276,1,February,2,2023,217.7
277,2,February,2,2023,215.2
278,3,February,2,2023,214.2
279,4,February,2,2023,211.8
280,5,February,2,2023,210.5
281,6,February,2,2023,208.9
282,7,February,2,2023,209.4
283,8,February,2,2023,209.4
284,9,February,2,2023,208.8
285,10,February,2,2023,205.8
286,11,February,2,2023,204.1
287,12,February,2,2023,203.6
288,13,February,2,2023,205.2
289,14,February,2,2023,209.2
290,15,February,2,2023,210.0
291,16,February,2,2023,198.8
292,17,February,2,2023,198.8
293,18,February,2,2023,202.1
294,19,February,2,2023,196.0
295,20,February,2,2023,196.4
296,21,February,2,2023,195.3
297,22,February,2,2023,201.5
298,23,February,2,2023,211.2
299,24,February,2,2023,215.4
300,25,February,2,2023,221.3
301,26,February,2,2023,220.5
302,27,February,2,2023,219.9
303,28,February,2,2023,222.7
304,1,March,3,2023,222.4
305,2,March,3,2023,215.9
306,3,March,3,2023,215.6
307,4,March,3,2023,215.9
308,5,March,3,2023,216.9
309,6,March,3,2023,216.6
310,7,March,3,2023,218.2
311,8,March,3,2023,217.9
312,9,March,3,2023,219.1
313,10,March,3,2023,217.8
314,11,March,3,2023,217.8
315,12,March,3,2023,216.8
316,13,March,3,2023,214.1
317,14,March,3,2023,216.0
318,15,March,3,2023,216.1
319,16,March,3,2023,201.2
320,17,March,3,2023,190.6
321,18,March,3,2023,181.1
322,19,March,3,2023,181.3
323,20,March,3,2023,180.9
324,21,March,3,2023,189.5
325,22,March,3,2023,200.2
326,23,March,3,2023,199.8
327,24,March,3,2023,212.8
328,25,March,3,2023,217.0
329,26,March,3,2023,213.8
330,27,March,3,2023,211.8
331,28,March,3,2023,215.9
332,29,March,3,2023,219.4
333,30,March,3,2023,221.0
334,31,March,3,2023,217.6
335,1,April,4,2023,203.8
336,2,April,4,2023,200.4
337,3,April,4,2023,202.1
338,4,April,4,2023,206.2
339,5,April,4,2023,206.2
340,6,April,4,2023,202.3
341,7,April,4,2023,199.1
342,8,April,4,2023,198.1
343,9,April,4,2023,196.9
344,10,April,4,2023,196.7
345,11,April,4,2023,204.1
346,12,April,4,2023,204.4
347,13,April,4,2023,203.7
348,14,April,4,2023,199.7
349,15,April,4,2023,198.1
350,16,April,4,2023,195.9
351,17,April,4,2023,196.7
352,18,April,4,2023,198.7
353,19,April,4,2023,199.6
354,20,April,4,2023,200.6
355,21,April,4,2023,200.4
356,22,April,4,2023,196.8
357,23,April,4,2023,195.5
358,24,April,4,2023,195.4
359,25,April,4,2023,196.7
360,26,April,4,2023,196.5
