,day,month,month_no,year,Gas supply by Russia,Gas Consumption,price,inflation rate
1,1,January,1,2018,177.5,3118.4,10.16,1.3
2,2,January,1,2018,176.3,4055.6,19.32,1.3
3,3,January,1,2018,175.1,4470.1,19.32,1.3
4,4,January,1,2018,175.5,4203.2,19.2,1.3
5,5,January,1,2018,176.2,4190.7,18.91,1.3
6,6,January,1,2018,177.0,3495.0,18.956666666666667,1.3
7,7,January,1,2018,175.5,4479.7,19.003333333333334,1.3
8,8,January,1,2018,178.8,6883.5,19.05,1.3
9,9,January,1,2018,179.7,6606.9,19.435,1.3
10,10,January,1,2018,179.8,6387.4,19.32,1.3
11,11,January,1,2018,182.2,6481.6,19.32,1.3
12,12,January,1,2018,182.4,6375.9,19.805,1.3
13,13,January,1,2018,180.8,5658.8,19.57875,1.3
14,14,January,1,2018,179.3,6015.0,19.3525,1.3
15,15,January,1,2018,179.3,7404.3,19.12625,1.3
16,16,January,1,2018,178.3,7093.8,18.9,1.3
17,17,January,1,2018,178.5,7655.5,18.44,1.3
18,18,January,1,2018,178.4,7517.5,18.35,1.3
19,19,January,1,2018,182.2,7663.7,18.19,1.3
20,20,January,1,2018,183.3,6336.7,18.308333333333334,1.3
21,21,January,1,2018,182.7,5594.4,18.42666666666667,1.3
22,22,January,1,2018,180.3,6850.0,18.545,1.3
23,23,January,1,2018,178.7,5925.8,18.2,1.3
24,24,January,1,2018,180.6,5148.7,17.79,1.3
25,25,January,1,2018,180.3,6223.1,17.78,1.3
26,26,January,1,2018,178.6,6441.4,17.78,1.3
27,27,January,1,2018,176.4,4695.2,17.651666666666667,1.3
28,28,January,1,2018,175.9,3926.1,17.523333333333333,1.3
29,29,January,1,2018,177.2,5136.8,17.395,1.3
30,30,January,1,2018,179.1,6014.3,17.41,1.3
31,31,January,1,2018,177.9,5919.9,17.88,1.3
32,1,February,2,2018,177.2,6344.8,18.15,1.1
33,2,February,2,2018,179.4,6576.9,18.16,1.1
34,3,February,2,2018,181.7,5879.6,17.97,1.1
35,4,February,2,2018,181.1,6263.5,17.78,1.1
36,5,February,2,2018,180.9,9005.7,17.59,1.1
37,6,February,2,2018,181.0,9763.0,17.88,1.1
38,7,February,2,2018,181.2,9775.4,18.16,1.1
39,8,February,2,2018,180.7,9439.9,17.74,1.1
40,9,February,2,2018,180.0,8666.2,17.9,1.1
41,10,February,2,2018,177.9,6165.8,17.916666666666664,1.1
42,11,February,2,2018,178.5,5609.5,17.933333333333334,1.1
43,12,February,2,2018,180.9,7859.7,17.95,1.1
44,13,February,2,2018,179.0,8122.2,18.305,1.1
45,14,February,2,2018,179.6,7677.6,18.07,1.1
46,15,February,2,2018,177.7,7287.0,17.79,1.1
47,16,February,2,2018,178.5,6639.2,18.16,1.1
48,17,February,2,2018,180.1,5737.0,18.5625,1.1
49,18,February,2,2018,180.6,5707.8,18.965,1.1
50,19,February,2,2018,176.3,7820.9,19.3675,1.1
51,20,February,2,2018,180.1,7909.2,19.77,1.1
52,21,February,2,2018,180.9,8407.1,19.78,1.1
53,22,February,2,2018,183.7,8746.7,19.94,1.1
54,23,February,2,2018,184.9,8783.0,20.41,1.1
