,day,month,month_no,year,Gas supply by Russia,Gas Consumption,inflation rate,price
1,1,January,1,2022,184.3,1898.4,5.1,73.70833333333333
2,2,January,1,2022,186.1,2377.0,5.1,77.07166666666667
3,3,January,1,2022,185.9,3188.2,5.1,80.435
4,4,January,1,2022,187.3,3961.6,5.1,88.74
5,5,January,1,2022,189.1,4843.6,5.1,91.52
6,6,January,1,2022,187.4,5712.3,5.1,96.5
7,7,January,1,2022,190.6,6109.0,5.1,88.175
8,8,January,1,2022,186.8,5135.2,5.1,86.985
9,9,January,1,2022,185.6,5139.7,5.1,85.795
10,10,January,1,2022,195.9,7850.1,5.1,84.605
11,11,January,1,2022,193.3,8294.6,5.1,78.735
12,12,January,1,2022,196.8,8644.6,5.1,75.155
13,13,January,1,2022,191.7,8108.6,5.1,85.46
14,14,January,1,2022,197.6,8011.3,5.1,86.97
15,15,January,1,2022,195.2,6558.3,5.1,84.05333333333333
16,16,January,1,2022,195.1,5947.3,5.1,81.13666666666667
17,17,January,1,2022,201.2,7351.8,5.1,78.22
18,18,January,1,2022,195.9,7844.2,5.1,78.335
19,19,January,1,2022,196.5,7333.0,5.1,75.6
20,20,January,1,2022,196.1,7396.8,5.1,75.205
21,21,January,1,2022,195.6,7817.8,5.1,78.98
22,22,January,1,2022,194.8,6661.0,5.1,83.65333333333334
23,23,January,1,2022,192.9,6254.3,5.1,88.32666666666667
24,24,January,1,2022,196.8,7915.7,5.1,93.0
25,25,January,1,2022,200.8,8184.6,5.1,93.58
26,26,January,1,2022,200.6,7819.4,5.1,91.835
27,27,January,1,2022,200.6,6795.5,5.1,92.3
28,28,January,1,2022,199.8,6430.7,5.1,92.062
29,29,January,1,2022,198.7,4594.0,5.1,89.598
30,30,January,1,2022,196.5,4403.1,5.1,87.134
31,31,January,1,2022,199.6,6365.2,5.1,84.67
32,1,February,2,2022,217.7,5305.0,5.9,76.165
33,2,February,2,2022,215.2,5123.6,5.9,77.35
34,3,February,2,2022,214.2,5002.7,5.9,80.225
35,4,February,2,2022,211.8,4350.1,5.9,82.65
36,5,February,2,2022,210.5,3301.4,5.9,81.63166666666667
37,6,February,2,2022,208.9,3073.9,5.9,80.61333333333333
38,7,February,2,2022,209.4,4675.5,5.9,79.595
39,8,February,2,2022,209.4,4430.8,5.9,77.3
40,9,February,2,2022,208.8,4500.8,5.9,74.415
41,10,February,2,2022,205.8,5059.5,5.9,74.355
42,11,February,2,2022,204.1,5128.5,5.9,77.425
43,12,February,2,2022,203.6,4270.2,5.9,78.53999999999999
44,13,February,2,2022,205.2,3718.3,5.9,79.655
45,14,February,2,2022,209.2,4593.3,5.9,80.77
46,15,February,2,2022,210.0,4337.9,5.9,70.92
47,16,February,2,2022,198.8,3939.5,5.9,69.795
48,17,February,2,2022,198.8,3350.3,5.9,74.915
49,18,February,2,2022,202.1,3259.8,5.9,73.76
50,19,February,2,2022,196.0,3207.8,5.9,73.08
51,20,February,2,2022,196.4,2784.5,5.9,72.4
52,21,February,2,2022,195.3,4013.2,5.9,71.72
53,22,February,2,2022,201.5,4084.8,5.9,79.79
54,23,February,2,2022,211.2,3571.5,5.9,88.89
55,24,February,2,2022,215.4,3272.9,5.9,134.315
56,25,February,2,2022,221.3,3275.2,5.9,94.422
57,26,February,2,2022,220.5,2649.8,5.9,95.813
58,27,February,2,2022,219.9,2703.1,5.9,97.204
59,28,February,2,2022,222.7,4422.7,5.9,98.595
60,1,March,3,2022,222.4,4507.0,7.4,121.675
61,2,March,3,2022,215.9,4293.1,7.4,165.545
62,3,March,3,2022,215.6,3974.7,7.4,160.825
63,4,March,3,2022,215.9,3762.8,7.4,192.55
64,5,March,3,2022,216.9,2992.5,7.4,204.1
65,6,March,3,2022,216.6,3207.5,7.4,215.65
66,7,March,3,2022,218.2,4815.6,7.4,227.2
67,8,March,3,2022,217.9,4106.0,7.4,214.555
68,9,March,3,2022,219.1,3383.4,7.4,155.88
69,10,March,3,2022,217.8,2815.3,7.4,126.4
70,11,March,3,2022,217.8,2609.5,7.4,131.23
71,12,March,3,2022,216.8,1966.0,7.4,125.66
72,13,March,3,2022,214.1,1821.0,7.4,120.08999999999999
73,14,March,3,2022,216.0,2647.0,7.4,114.52
74,15,March,3,2022,216.1,2596.2,7.4,115.44
75,16,March,3,2022,201.2,2528.8,7.4,102.625
76,17,March,3,2022,190.6,2562.2,7.4,105.09
77,18,March,3,2022,181.1,2587.0,7.4,105.045
78,19,March,3,2022,181.3,1672.0,7.4,102.13066666666667
79,20,March,3,2022,180.9,1920.1,7.4,99.21633333333334
80,21,March,3,2022,189.5,2419.7,7.4,96.302
81,22,March,3,2022,200.2,1840.5,7.4,98.745
82,23,March,3,2022,199.8,1677.2,7.4,117.0
83,24,March,3,2022,212.8,1490.3,7.4,111.61
84,25,March,3,2022,217.0,1468.8,7.4,101.27
85,26,March,3,2022,213.8,1045.4,7.4,101.695
86,27,March,3,2022,211.8,892.4,7.4,102.12
87,28,March,3,2022,215.9,1410.0,7.4,102.545
88,29,March,3,2022,219.4,1424.2,7.4,108.38
89,30,March,3,2022,221.0,1708.6,7.4,118.97
90,31,March,3,2022,217.6,1976.8,7.4,125.905
91,1,April,4,2022,203.8,2189.1,7.4,112.15
92,2,April,4,2022,200.4,1643.6,7.4,111.275
93,3,April,4,2022,202.1,1694.7,7.4,110.4
94,4,April,4,2022,206.2,1945.7,7.4,109.525
95,5,April,4,2022,206.2,1338.4,7.4,108.565
96,6,April,4,2022,202.3,671.6,7.4,106.79
97,7,April,4,2022,199.1,371.0,7.4,104.565
98,8,April,4,2022,198.1,629.0,7.4,103.88
99,9,April,4,2022,196.9,506.5,7.4,102.63166666666666
100,10,April,4,2022,196.7,517.6,7.4,101.38333333333334
101,11,April,4,2022,204.1,628.1,7.4,100.135
102,12,April,4,2022,204.4,546.4,7.4,102.22
103,13,April,4,2022,203.7,371.3,7.4,105.325
104,14,April,4,2022,199.7,388.5,7.4,95.62
105,15,April,4,2022,198.1,259.6,7.4,95.62
106,16,April,4,2022,195.9,178.7,7.4,95.62
107,17,April,4,2022,196.7,171.8,7.4,95.62
108,18,April,4,2022,198.7,180.5,7.4,95.62
109,19,April,4,2022,199.6,567.2,7.4,93.77
110,20,April,4,2022,200.6,644.6,7.4,94.23
111,21,April,4,2022,200.4,471.2,7.4,100.06
112,22,April,4,2022,196.8,364.7,7.4,94.875
113,23,April,4,2022,195.5,175.3,7.4,94.195
114,24,April,4,2022,195.4,206.3,7.4,93.515
115,25,April,4,2022,196.7,657.0,7.4,92.835
116,26,April,4,2022,196.5,698.1,7.4,103.21
