freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,FC_E,G3000,TJ_GCV,AL	155.000 	260.000 	318.000 	519.000 	466.828 	581.495 	343.318 	301.450 	301.400 	: 
A,FC_E,G3000,TJ_GCV,AT	211823.637 	219984.567 	203734.807 	212190.515 	219960.844 	222669.829 	216577.050 	222459.396 	216122.366 	: 
A,FC_E,G3000,TJ_GCV,BA	: 	: 	5169.000 	6132.000 	6321.000 	6933.000 	6888.000 	6512.000 	5824.000 	: 
A,FC_E,G3000,TJ_GCV,BE	430847.200 	454323.100 	386845.100 	414747.400 	431809.100 	438676.400 	441745.400 	438683.300 	421373.000 	: 
A,FC_E,G3000,TJ_GCV,BG	54995.000 	53774.000 	54833.000 	60459.000 	60503.000 	62931.488 	60558.354 	53348.684 	54732.493 	: 
A,FC_E,G3000,TJ_GCV,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,G3000,TJ_GCV,CZ	250598.000 	249672.000 	223610.000 	233725.000 	245810.000 	257229.000 	240332.610 	241312.361 	239970.848 	: 
A,FC_E,G3000,TJ_GCV,DE	2339955.000 	2458347.000 	2206383.000 	2293540.000 	2438386.000 	2454935.472 	2474705.340 	2435977.344 	2410320.612 	: 
A,FC_E,G3000,TJ_GCV,DK	73520.000 	73498.000 	67342.734 	69993.252 	71070.641 	74246.457 	73024.680 	71830.762 	70159.220 	: 
A,FC_E,G3000,TJ_GCV,EA19	8155526.011 	8382635.903 	7376249.312 	7620071.490 	7930751.985 	7965490.881 	7984715.685 	7869201.690 	7615524.222 	: 
A,FC_E,G3000,TJ_GCV,EE	10148.000 	11632.000 	10413.000 	10347.000 	11743.000 	10965.000 	11707.028 	11217.000 	11410.880 	: 
A,FC_E,G3000,TJ_GCV,EL	45190.000 	42219.000 	38825.000 	45071.000 	48730.000 	39384.586 	37753.346 	41704.750 	51072.911 	: 
A,FC_E,G3000,TJ_GCV,ES	680772.000 	687854.000 	665018.000 	600775.000 	621445.000 	630967.000 	666308.000 	672494.000 	642676.000 	: 
A,FC_E,G3000,TJ_GCV,EU27_2020	9532258.011 	9754561.903 	8665611.046 	8943856.742 	9306474.626 	9382834.258 	9385665.013 	9256544.030 	9017245.107 	: 
A,FC_E,G3000,TJ_GCV,EU28	11486344.126 	11738993.313 	10359345.353 	10710040.566 	11115515.858 	11149127.560 	11232411.929 	11076749.266 	: 	: 
A,FC_E,G3000,TJ_GCV,FI	32652.000 	32770.000 	31204.000 	28581.000 	27573.000 	29451.000 	27911.000 	32216.000 	32295.000 	: 
A,FC_E,G3000,TJ_GCV,FR	1489161.253 	1547162.009 	1299271.193 	1333119.017 	1398498.582 	1361297.146 	1347526.066 	1315535.053 	1231181.839 	: 
A,FC_E,G3000,TJ_GCV,GE	: 	47483.216 	55977.073 	59986.236 	60074.305 	65420.173 	64790.777 	70594.957 	73310.667 	: 
A,FC_E,G3000,TJ_GCV,HR	48880.000 	46207.000 	43646.000 	45461.000 	47942.000 	50307.289 	50054.800 	50920.801 	51177.575 	: 
A,FC_E,G3000,TJ_GCV,HU	235399.000 	248126.000 	232704.000 	246247.000 	257718.000 	265599.000 	259120.000 	254995.000 	264846.000 	: 
A,FC_E,G3000,TJ_GCV,IE	75413.205 	75738.429 	75171.877 	79617.043 	83279.417 	84551.195 	91072.039 	91573.553 	90875.313 	: 
A,FC_E,G3000,TJ_GCV,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,G3000,TJ_GCV,IT	1649152.000 	1638540.000 	1437594.000 	1534408.000 	1546186.000 	1578026.216 	1564401.107 	1537141.035 	1479672.620 	: 
A,FC_E,G3000,TJ_GCV,LI	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,G3000,TJ_GCV,LT	28749.000 	25681.000 	24285.000 	24141.000 	25645.000 	26508.000 	27770.000 	27172.000 	27112.000 	: 
A,FC_E,G3000,TJ_GCV,LU	28435.383 	27971.576 	26731.779 	28017.802 	29451.520 	29007.299 	29002.492 	28998.835 	26254.283 	: 
A,FC_E,G3000,TJ_GCV,LV	18718.000 	15985.000 	15196.000 	14725.000 	14945.000 	15258.994 	16025.252 	15054.111 	15022.554 	: 
A,FC_E,G3000,TJ_GCV,MD	18430.000 	16346.000 	16171.000 	16454.000 	17510.000 	17959.000 	20363.700 	19671.000 	20452.000 	: 
A,FC_E,G3000,TJ_GCV,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,G3000,TJ_GCV,MK	1051.000 	1255.000 	1565.000 	1465.000 	1770.000 	2051.000 	2016.000 	2008.000 	2012.000 	: 
A,FC_E,G3000,TJ_GCV,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,G3000,TJ_GCV,NL	882668.333 	907008.222 	744622.556 	784336.198 	810101.952 	806507.668 	797650.207 	768008.267 	739496.605 	: 
A,FC_E,G3000,TJ_GCV,NO	19130.870 	19512.154 	19378.921 	19854.294 	19633.754 	21293.910 	19694.116 	21508.049 	18444.665 	: 
A,FC_E,G3000,TJ_GCV,PL	407618.000 	413272.000 	388344.000 	394934.000 	429169.000 	427307.117 	431164.297 	433715.524 	429642.745 	: 
A,FC_E,G3000,TJ_GCV,PT	75125.000 	72882.000 	72000.000 	75117.515 	76085.570 	80983.753 	83569.309 	84122.246 	80653.746 	: 
A,FC_E,G3000,TJ_GCV,RO	278070.000 	264286.000 	254289.000 	246523.000 	242086.000 	256802.652 	265064.938 	259111.701 	269277.140 	: 
A,FC_E,G3000,TJ_GCV,RS	42744.000 	46619.000 	31431.000 	34606.000 	36776.000 	43878.397 	48285.111 	42576.815 	39351.013 	: 
A,FC_E,G3000,TJ_GCV,SE	27652.000 	23091.000 	24593.000 	26443.000 	21424.000 	22920.374 	21629.649 	22107.507 	21914.864 	: 
A,FC_E,G3000,TJ_GCV,SI	25460.000 	25150.000 	24100.000 	25956.000 	27837.000 	28392.323 	27799.049 	27527.800 	27075.493 	: 
A,FC_E,G3000,TJ_GCV,SK	131256.000 	139388.000 	114854.000 	115382.000 	119075.000 	127909.000 	123193.000 	119317.000 	112909.000 	: 
A,FC_E,G3000,TJ_GCV,TR	830694.000 	878107.000 	903131.000 	983982.000 	983938.000 	1151144.983 	1119151.982 	1180349.454 	1210089.061 	: 
A,FC_E,G3000,TJ_GCV,UA	1009660.000 	974907.000 	852117.000 	641816.000 	646479.000 	642122.000 	654018.000 	558082.000 	507840.000 	: 
A,FC_E,G3000,TJ_GCV,UK	1961645.000 	1985772.000 	1692615.000 	1753436.000 	1802769.016 	1767592.540 	1845413.596 	1828767.000 	: 	: 
A,FC_E,G3000,TJ_GCV,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
