freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,FC_NE,G3000,TJ_GCV,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_NE,G3000,TJ_GCV,AT	14672.923 	13801.375 	16033.860 	15455.485 	15841.903 	15388.308 	12855.478 	16518.236 	15752.125 	: 
A,FC_NE,G3000,TJ_GCV,BA	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_NE,G3000,TJ_GCV,BE	41592.200 	43643.100 	40075.800 	45938.300 	43551.600 	50312.500 	48664.400 	47230.600 	53035.500 	: 
A,FC_NE,G3000,TJ_GCV,BG	8568.000 	9637.000 	10247.000 	12664.000 	13397.000 	12932.293 	9671.833 	7025.670 	6956.762 	: 
A,FC_NE,G3000,TJ_GCV,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_NE,G3000,TJ_GCV,CZ	4511.000 	4306.000 	4397.000 	4462.000 	4665.000 	4128.000 	4146.350 	4523.618 	4428.950 	: 
A,FC_NE,G3000,TJ_GCV,DE	95673.000 	112126.000 	117595.000 	110352.000 	122021.000 	120120.174 	139906.070 	159621.499 	117587.000 	: 
A,FC_NE,G3000,TJ_GCV,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_NE,G3000,TJ_GCV,EA19	455999.260 	455060.004 	469761.880 	461262.253 	456021.238 	494555.323 	503194.684 	535563.586 	479692.183 	: 
A,FC_NE,G3000,TJ_GCV,EE	492.000 	3192.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_NE,G3000,TJ_GCV,EL	16943.000 	14956.000 	16196.000 	16179.000 	6809.000 	18918.555 	22567.918 	19906.543 	17445.894 	: 
A,FC_NE,G3000,TJ_GCV,ES	16496.000 	21888.000 	22562.000 	20301.000 	20704.000 	20334.000 	21572.000 	21688.000 	20689.000 	: 
A,FC_NE,G3000,TJ_GCV,EU27_2020	649267.260 	636245.004 	665090.880 	636782.253 	629729.238 	689751.577 	682371.771 	710085.888 	668964.235 	: 
A,FC_NE,G3000,TJ_GCV,EU28	671160.060 	656396.904 	684637.880 	655686.350 	649131.243 	711612.303 	703188.324 	728487.278 	: 	: 
A,FC_NE,G3000,TJ_GCV,FI	1162.000 	980.000 	1069.000 	959.000 	628.000 	699.000 	829.000 	803.000 	743.000 	: 
A,FC_NE,G3000,TJ_GCV,FR	47522.137 	49997.085 	50219.887 	52899.184 	54645.614 	54699.213 	55811.062 	55216.857 	48111.746 	: 
