"Gas Day Start";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working gas volume (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)"
"2021-12-31";"594.6708";"53.54";"0.08";"2851.08";"1960.6";"1110.6959";"11263.75";"19565.16"
"2021-12-30";"593.2263";"53.41";"-0.02";"2606.23";"2880";"1110.6959";"11267.76";"19566.35"
"2021-12-29";"593.5261";"53.44";"-0.11";"1942.42";"3208.6";"1110.6959";"11263.62";"19565.51"
"2021-12-28";"594.6786";"53.54";"-0.23";"1463.74";"4063.2";"1110.6959";"11263.85";"19564.89"
"2021-12-27";"597.3021";"53.78";"-0.3";"1126.4";"4442.8";"1110.6959";"11264.05";"19564.35"
"2021-12-26";"600.6305";"54.08";"-0.34";"819.67";"4556.6";"1110.6955";"11263.97";"19564.51"
"2021-12-25";"604.3884";"54.42";"-0.26";"1074.54";"4003.3";"1110.6955";"11264.14";"19564.06"
"2021-12-24";"607.3582";"54.68";"-0.34";"781.63";"4560";"1110.6955";"11263.8";"19564.96"
"2021-12-23";"611.1792";"55.03";"-0.61";"231.58";"6990.2";"1110.6955";"11263.37";"19566.11"
"2021-12-22";"617.9384";"55.64";"-0.77";"121.71";"8710.2";"1110.6955";"11263.89";"19564.73"
"2021-12-21";"626.6131";"56.42";"-0.76";"143.55";"8623.8";"1110.6955";"11263.41";"19566"
"2021-12-20";"635.117";"57.18";"-0.68";"92.87";"7680.9";"1110.6955";"11262.97";"19571.05"
"2021-12-19";"642.7054";"57.87";"-0.43";"299.31";"5068.4";"1110.6979";"11262.71";"19572.01"
"2021-12-18";"647.5036";"58.3";"-0.4";"327.37";"4756.4";"1110.6979";"11262.57";"19572.4"
"2021-12-17";"651.993";"58.7";"-0.48";"350.47";"5721.3";"1110.6979";"11249.14";"19562.81"
"2021-12-16";"657.3625";"59.18";"-0.48";"426.68";"5744.8";"1110.6979";"11237.82";"19488.68"
"2021-12-15";"662.6893";"59.66";"-0.47";"400.5";"5624.2";"1110.6979";"11237.56";"19489.38"
"2021-12-14";"667.9525";"60.14";"-0.49";"362.27";"5836.1";"1110.6979";"11237.22";"19490.27"
"2021-12-13";"673.4655";"60.63";"-0.54";"470.35";"6451";"1110.6979";"11239.88";"19501.89"
"2021-12-12";"679.4229";"61.17";"-0.39";"718.73";"4999.2";"1110.693";"11260.42";"19577.51"
"2021-12-11";"683.7775";"61.56";"-0.49";"575.42";"6024.6";"1110.693";"11260.28";"19577.88"
"2021-12-10";"689.2343";"62.05";"-0.6";"240.74";"6876.4";"1110.693";"11260";"19578.71"
"2021-12-09";"695.8636";"62.65";"-0.65";"186.76";"7404.3";"1110.693";"11259.64";"19579.66"
"2021-12-08";"703.059";"63.3";"-0.6";"214.21";"6919";"1110.693";"11259.3";"19580.57"
"2021-12-07";"709.78";"63.9";"-0.6";"266.47";"6974.4";"1110.693";"11258.94";"19581.5"
"2021-12-06";"716.5145";"64.51";"-0.63";"292.36";"7311.4";"1110.693";"11258.47";"19582.75"
"2021-12-05";"723.4814";"65.14";"-0.46";"461.15";"5539.3";"1110.695";"11258.17";"19583.76"
"2021-12-04";"728.5461";"65.59";"-0.45";"567.87";"5555.9";"1110.695";"11257.83";"19584.67"
"2021-12-03";"733.5586";"66.05";"-0.57";"285.2";"6650.4";"1110.695";"11257.38";"19585.85"
"2021-12-02";"739.9745";"66.62";"-0.6";"324.33";"7004.6";"1110.695";"11256.93";"19587.04"
"2021-12-01";"746.4893";"67.21";"-0.51";"378.61";"6089.4";"1110.695";"11256.57";"19588"
"2021-11-30";"752.7505";"67.77";"-0.55";"170.9";"6244.5";"1110.695";"11256.19";"19588.98"
"2021-11-29";"758.8893";"68.33";"-0.59";"172.87";"6750";"1110.695";"11255.83";"19589.96"
"2021-11-28";"765.43";"68.91";"-0.42";"458.55";"5122";"1110.7042";"11255.69";"19591.37"
"2021-11-27";"770.1326";"69.34";"-0.42";"508.52";"5157.3";"1110.7042";"11255.32";"19592.34"
"2021-11-26";"774.8323";"69.76";"-0.51";"212.48";"5853.8";"1110.7042";"11254.94";"19593.35"
"2021-11-25";"780.5123";"70.27";"-0.53";"212.47";"6086.1";"1110.7042";"11254.83";"19593.65"
"2021-11-24";"786.3682";"70.8";"-0.53";"174.07";"6038.2";"1110.7042";"11254.4";"19613.09"
"2021-11-23";"792.4943";"71.35";"-0.47";"175.55";"5390";"1110.7042";"11254.05";"19614.02"
"2021-11-22";"797.7316";"71.82";"-0.41";"212.92";"4802.2";"1110.7042";"11253.69";"19614.97"
