freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,IC_CAL,G3000,TJ_GCV,AL	615.000 	678.000 	1155.000 	1273.000 	1626.572 	1741.239 	1503.062 	2679.550 	1917.000 	2060.000 p
A,IC_CAL,G3000,TJ_GCV,AT	340832.943 	328455.492 	300864.755 	321376.346 	336932.797 	361759.621 	342506.979 	357663.033 	339281.541 	360176.124 p
A,IC_CAL,G3000,TJ_GCV,BA	: 	: 	7063.000 	8254.000 	8592.000 	9292.000 	9260.000 	8745.000 	7977.000 	9206.000 p
A,IC_CAL,G3000,TJ_GCV,BE	668882.000 	673858.000 	588106.300 	648803.600 	661852.399 	676406.100 	698105.131 	706902.254 	703827.650 	707172.700 p
A,IC_CAL,G3000,TJ_GCV,BG	114028.000 	111543.000 	109908.000 	120708.000 	124977.000 	128499.521 	121517.187 	113593.400 	117004.876 	132124.293 p
A,IC_CAL,G3000,TJ_GCV,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 p
A,IC_CAL,G3000,TJ_GCV,CZ	318946.000 	323147.000 	287592.000 	301578.000 	326399.000 	334990.000 	317224.753 	332999.018 	338511.728 	362780.964 
A,IC_CAL,G3000,TJ_GCV,DE	3247995.000 	3400715.000 	2948178.000 	3030980.000 	3271766.000 	3504848.393 	3421639.761 	3517861.462 	3470389.682 	3582609.437 p
A,IC_CAL,G3000,TJ_GCV,DK	162095.000 	154259.000 	130815.293 	133891.979 	137387.763 	133575.936 	132260.937 	128334.542 	114292.309 	108747.741 p
A,IC_CAL,G3000,TJ_GCV,EA19	12950985.414 	12758549.960 	11150965.561 	11686660.905 	12382528.669 	13079692.086 	12803785.416 	13298036.664 	12829752.129 	13307746.436 p
A,IC_CAL,G3000,TJ_GCV,EE	25372.000 	25814.000 	20262.000 	18164.000 	19923.000 	18885.000 	19241.000 	17695.000 	16196.000 	17514.000 p
