"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"29. Juli 2022","190,915","190,915","190,915","190,915","","-4,03%"
"28. Juli 2022","198,930","198,930","198,930","198,930","","-3,07%"
"27. Juli 2022","205,225","205,225","205,225","205,225","","2,65%"
"26. Juli 2022","199,920","199,920","199,920","199,920","","13,20%"
"25. Juli 2022","176,615","176,615","176,615","176,615","","10,48%"
"22. Juli 2022","159,865","159,865","159,865","159,865","","2,74%"
"21. Juli 2022","155,600","155,600","155,600","155,600","","0,36%"
"20. Juli 2022","155,040","155,040","155,040","155,040","","0,38%"
"19. Juli 2022","154,455","154,455","154,455","154,455","","-1,78%"
"18. Juli 2022","157,260","157,260","157,260","157,260","","-1,44%"
"15. Juli 2022","159,565","159,565","159,565","159,565","","-8,84%"
"14. Juli 2022","175,035","175,035","175,035","175,035","","-3,03%"
"13. Juli 2022","180,505","180,505","180,505","180,505","","4,57%"
"12. Juli 2022","172,610","172,610","172,610","172,610","","4,92%"
"11. Juli 2022","164,520","164,520","164,520","164,520","","-6,10%"
"08. Juli 2022","175,210","175,210","175,210","175,210","","-4,35%"
"07. Juli 2022","183,185","183,185","183,185","183,185","","7,13%"
"06. Juli 2022","171,000","171,000","171,000","171,000","","3,59%"
"05. Juli 2022","165,075","165,075","165,075","165,075","","11,70%"
"01. Juli 2022","147,785","147,785","147,785","147,785","","2,26%"
"30. Juni 2022","144,515","144,515","144,515","144,515","","3,53%"
"29. Juni 2022","139,588","139,588","139,588","139,588","","8,06%"
"28. Juni 2022","129,175","129,175","129,175","129,175","","-0,22%"
"27. Juni 2022","129,460","129,460","129,460","129,460","","0,74%"
"24. Juni 2022","128,505","128,505","128,505","128,505","","-3,63%"
"23. Juni 2022","133,345","133,345","133,345","133,345","","4,86%"
"22. Juni 2022","127,170","127,170","127,170","127,170","","1,28%"
"21. Juni 2022","125,560","125,560","125,560","125,560","","6,64%"
"17. Juni 2022","117,740","117,740","117,740","117,740","","-5,33%"
"16. Juni 2022","124,365","124,365","124,365","124,365","","3,35%"
"15. Juni 2022","120,330","120,330","120,330","120,330","","24,00%"
"14. Juni 2022","97,040","97,040","97,040","97,040","","16,35%"
"13. Juni 2022","83,400","83,400","83,400","83,400","","1,13%"
"10. Juni 2022","82,465","82,465","82,465","82,465","","-2,85%"
"09. Juni 2022","84,880","84,880","84,880","84,880","","6,90%"
"08. Juni 2022","79,405","79,405","79,405","79,405","","-0,26%"
"07. Juni 2022","79,610","80,410","81,020","80,410","0,01K","-3,57%"
"06. Juni 2022","82,560","83,005","83,005","83,005","0,02K","-0,65%"
"03. Juni 2022","83,100","83,101","83,101","83,101","","-1,01%"
"02. Juni 2022","83,945","83,945","83,945","83,945","","-1,88%"
"01. Juni 2022","85,550","85,551","85,551","85,551","","-8,99%"
"31. Mai 2022","94,005","94,005","94,005","94,005","","8,21%"
"27. Mai 2022","86,875","86,250","86,250","86,250","0,01K","1,05%"
"26. Mai 2022","85,970","85,970","85,970","85,970","","-2,40%"
"25. Mai 2022","88,080","85,625","86,125","84,840","0,05K","4,23%"
"24. Mai 2022","84,505","86,875","86,875","86,875","0,01K","1,46%"
"23. Mai 2022","83,290","85,220","85,220","85,220","0,01K","-5,24%"
"20. Mai 2022","87,900","87,902","87,902","87,902","","-3,43%"
"19. Mai 2022","91,025","91,025","91,025","91,025","","-3,72%"
"18. Mai 2022","94,540","96,475","96,475","96,475","0,01K","0,39%"
"17. Mai 2022","94,175","94,175","94,175","94,175","","1,42%"
"16. Mai 2022","92,860","92,860","92,860","92,860","","-4,15%"
"13. Mai 2022","96,880","96,881","96,881","96,881","","-9,20%"
"12. Mai 2022","106,700","106,701","106,701","106,701","","13,50%"
"11. Mai 2022","94,010","94,010","94,010","94,010","","-4,85%"
"10. Mai 2022","98,800","98,800","98,800","98,800","","5,35%"
"09. Mai 2022","93,785","96,315","96,315","95,000","0,05K","-7,79%"
"06. Mai 2022","101,710","101,710","101,710","101,710","","-4,51%"
"05. Mai 2022","106,510","106,510","106,510","106,510","","2,59%"
"04. Mai 2022","103,820","103,820","103,820","103,820","","4,42%"
"03. Mai 2022","99,425","99,426","99,426","99,426","","2,45%"
"02. Mai 2022","97,050","97,050","97,050","97,050","","-2,41%"
"29. Apr. 2022","99,450","99,450","99,450","99,450","","-0,69%"
"28. Apr. 2022","100,142","100,142","100,142","100,142","","-6,78%"
"27. Apr. 2022","107,425","107,425","107,425","107,425","","4,08%"
"26. Apr. 2022","103,210","103,210","103,210","103,210","","11,18%"
"25. Apr. 2022","92,835","92,835","92,835","92,835","","-2,15%"
"22. Apr. 2022","94,875","94,875","94,875","94,875","","-5,18%"
"21. Apr. 2022","100,060","100,060","100,060","100,060","","6,19%"
"20. Apr. 2022","94,230","96,750","96,750","96,750","0,00K","0,49%"
"19. Apr. 2022","93,770","93,770","93,770","93,770","","-1,93%"
"18. Apr. 2022","95,620","95,620","95,620","95,620","","0,00%"
"14. Apr. 2022","95,620","95,620","95,620","95,620","","-9,21%"
"13. Apr. 2022","105,325","105,325","105,325","105,325","","3,04%"
"12. Apr. 2022","102,220","103,750","103,750","103,750","0,00K","2,08%"
"11. Apr. 2022","100,135","100,135","100,135","100,135","","-3,61%"
"08. Apr. 2022","103,880","103,880","103,880","103,880","","-0,66%"
"07. Apr. 2022","104,565","104,565","104,565","104,565","","-2,08%"
"06. Apr. 2022","106,790","106,790","106,790","106,790","","-1,63%"
"05. Apr. 2022","108,565","108,140","108,140","108,140","0,00K","-0,88%"
"04. Apr. 2022","109,525","109,525","109,525","109,525","0,01K","-2,34%"
"01. Apr. 2022","112,150","114,750","114,750","114,750","0,03K","-10,92%"
"31. März 2022","125,905","125,905","125,905","125,905","","5,83%"
"30. März 2022","118,970","118,970","118,970","118,970","","9,77%"
"29. März 2022","108,380","108,380","108,380","108,380","0,38K","5,69%"
"28. März 2022","102,545","97,600","97,600","97,600","0,00K","1,26%"
"25. März 2022","101,270","101,270","101,270","101,270","0,04K","-9,26%"
"24. März 2022","111,610","116,000","116,000","116,000","0,03K","-4,61%"
"23. März 2022","117,000","117,000","117,000","117,000","","18,49%"
"22. März 2022","98,745","98,745","98,745","98,745","0,01K","2,54%"
"21. März 2022","96,302","98,720","98,720","98,720","0,01K","-8,32%"
"18. März 2022","105,045","105,045","105,045","105,045","0,01K","-0,04%"
"17. März 2022","105,090","110,500","110,500","105,250","0,02K","2,40%"
"16. März 2022","102,625","102,625","102,625","102,625","","-11,10%"
"15. März 2022","115,440","121,690","121,690","121,690","0,00K","0,80%"
"14. März 2022","114,520","114,520","114,520","114,520","0,00K","-12,73%"
"11. März 2022","131,230","131,230","131,230","131,230","","3,82%"
"10. März 2022","126,400","126,400","126,400","126,400","","-18,91%"
"09. März 2022","155,880","155,880","155,880","155,880","","-27,35%"
"08. März 2022","214,555","214,555","214,555","214,555","","-5,57%"
"07. März 2022","227,200","227,200","227,200","227,200","0,01K","18,00%"
"04. März 2022","192,550","192,550","192,550","192,550","0,02K","19,73%"
"03. März 2022","160,825","148,000","148,000","147,490","0,01K","-2,85%"
"02. März 2022","165,545","165,545","165,545","165,545","0,00K","36,06%"
"01. März 2022","121,675","103,665","119,270","103,665","0,43K","23,41%"
"28. Feb. 2022","98,595","116,490","116,490","104,470","0,03K","4,42%"
"25. Feb. 2022","94,422","94,422","94,422","94,422","0,10K","-29,70%"
"24. Feb. 2022","134,315","106,100","135,000","106,100","0,00K","51,10%"
"23. Feb. 2022","88,890","83,175","88,000","83,175","0,04K","11,40%"
"22. Feb. 2022","79,790","71,525","80,345","71,525","0,37K","11,25%"
"21. Feb. 2022","71,720","71,525","75,465","71,525","0,09K","-2,77%"
"18. Feb. 2022","73,760","72,975","73,900","70,570","0,05K","-1,54%"
"17. Feb. 2022","74,915","73,350","75,150","71,340","0,05K","7,34%"
"16. Feb. 2022","69,795","69,095","71,000","68,970","0,10K","-1,59%"
"15. Feb. 2022","70,920","76,060","76,170","68,515","0,13K","-12,20%"
"14. Feb. 2022","80,770","83,600","83,600","79,695","0,30K","4,32%"
"11. Feb. 2022","77,425","73,415","76,400","73,305","0,17K","4,13%"
"10. Feb. 2022","74,355","74,030","74,680","72,470","0,15K","-0,08%"
"09. Feb. 2022","74,415","76,695","76,695","73,835","0,07K","-3,73%"
"08. Feb. 2022","77,300","81,480","82,000","75,480","0,32K","-2,88%"
"07. Feb. 2022","79,595","78,800","79,740","77,850","0,07K","-3,70%"
"04. Feb. 2022","82,650","81,470","82,450","81,470","0,10K","3,02%"
"03. Feb. 2022","80,225","79,600","80,100","77,010","0,33K","3,72%"
"02. Feb. 2022","77,350","77,150","79,100","76,290","0,38K","1,56%"
"01. Feb. 2022","76,165","78,300","78,380","74,800","0,48K","-10,04%"
"31. Jan. 2022","84,670","84,850","84,850","84,850","0,00K","-8,03%"
"28. Jan. 2022","92,062","92,300","92,300","92,300","0,06K","-0,26%"
"27. Jan. 2022","92,300","92,250","92,900","90,310","0,33K","0,51%"
"26. Jan. 2022","91,835","89,395","92,445","89,395","0,07K","-1,86%"
"25. Jan. 2022","93,580","92,385","95,510","92,385","0,05K","0,62%"
"24. Jan. 2022","93,000","88,605","93,600","88,605","0,07K","17,75%"
"21. Jan. 2022","78,980","74,765","81,815","74,765","0,05K","5,02%"
"20. Jan. 2022","75,205","71,000","75,590","71,000","0,05K","-0,52%"
"19. Jan. 2022","75,600","73,950","76,500","71,420","0,05K","-3,49%"
"18. Jan. 2022","78,335","83,275","84,600","74,890","0,13K","0,15%"
"17. Jan. 2022","78,220","84,600","84,600","74,890","0,08K","-10,06%"
"14. Jan. 2022","86,970","89,000","91,800","85,700","0,12K","1,77%"
"13. Jan. 2022","85,460","72,000","85,980","72,000","0,14K","13,71%"
"12. Jan. 2022","75,155","82,250","82,250","73,400","0,09K","-4,55%"
"11. Jan. 2022","78,735","81,225","82,050","80,000","0,04K","-6,94%"
"10. Jan. 2022","84,605","86,500","90,400","84,460","0,07K","-4,05%"
"07. Jan. 2022","88,175","95,800","96,270","86,580","0,03K","-8,63%"
"06. Jan. 2022","96,500","95,265","97,020","93,300","0,07K","5,44%"
"05. Jan. 2022","91,520","95,700","95,700","88,385","0,14K","3,13%"
"04. Jan. 2022","88,740","85,000","96,625","85,000","0,31K","10,33%"
"03. Jan. 2022","80,435","80,434","80,434","80,434","","14,34%"
