"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"01. Dez. 2021","70,345","92,600","176,655","67,365","6,85K","-23,96%"
"01. Nov. 2021","92,515","63,590","99,850","62,840","1,08K","42,63%"
"01. Okt. 2021","64,865","94,665","132,930","70,000","2,71K","-33,66%"
"01. Sept. 2021","97,775","52,250","96,300","49,600","16,82K","94,23%"
"01. Aug. 2021","50,340","42,100","50,470","40,100","14,86K","23,50%"
"01. Juli 2021","40,760","35,500","40,880","31,470","14,68K","17,74%"
"01. Juni 2021","34,620","25,180","34,920","25,180","16,21K","38,87%"
"01. Mai 2021","24,930","24,110","26,910","22,570","16,71K","7,04%"
"01. Apr. 2021","23,290","19,000","23,320","18,900","17,84K","22,58%"
"01. März 2021","19,000","16,000","19,170","15,500","20,88K","21,02%"
"01. Feb. 2021","15,700","19,050","20,380","15,550","13,96K","-20,79%"
"01. Jan. 2021","19,820","19,450","26,090","17,380","10,62K","3,66%"
"01. Dez. 2020","19,120","15,470","19,270","14,000","4,83K","26,29%"
"01. Nov. 2020","15,140","13,520","15,200","12,600","7,16K","7,68%"
"01. Okt. 2020","14,060","13,350","15,650","12,810","7,63K","5,79%"
"01. Sept. 2020","13,290","11,200","13,310","10,370","3,90K","18,24%"
"01. Aug. 2020","11,240","6,330","11,180","6,330","4,95K","86,40%"
"01. Juli 2020","6,030","5,950","6,320","4,710","7,83K","-2,27%"
"01. Juni 2020","6,170","4,100","6,460","3,950","9,53K","40,87%"
"01. Mai 2020","4,380","6,200","6,200","3,500","6,95K","-29,58%"
"01. Apr. 2020","6,220","6,720","7,530","5,800","5,42K","-9,86%"
"01. März 2020","6,900","9,000","9,630","7,100","12,72K","-22,30%"
"01. Feb. 2020","8,880","9,600","9,600","8,500","3,43K","-9,02%"
"01. Jan. 2020","9,760","12,440","12,750","9,930","6,67K","-19,00%"
"01. Dez. 2019","12,050","15,960","16,000","12,610","5,33K","-26,21%"
"01. Nov. 2019","16,330","16,350","16,910","15,150","8,73K","1,18%"
"01. Okt. 2019","16,140","16,250","16,730","13,620","6,31K","-1,53%"
"01. Sept. 2019","16,390","11,950","16,690","11,680","2,93K","28,15%"
"01. Aug. 2019","12,790","11,680","12,650","10,150","5,74K","16,27%"
"01. Juli 2019","11,000","10,570","13,720","9,720","7,29K","8,70%"
"01. Juni 2019","10,120","11,320","11,650","9,750","0,43K","-9,72%"
"01. Mai 2019","11,210","14,100","14,350","12,410","0,12K","-22,10%"
"01. Apr. 2019","14,390","13,700","16,950","13,700","0,38K","1,27%"
"01. März 2019","14,210","17,380","17,500","14,180","4,39K","-20,26%"
"01. Feb. 2019","17,820","19,070","19,180","17,000","0,91K","-10,23%"
"01. Jan. 2019","19,850","22,280","23,140","19,660","0,74K","-9,69%"
"01. Dez. 2018","21,980","24,390","24,790","22,180","0,76K","-10,98%"
"01. Nov. 2018","24,690","23,980","26,730","23,620","0,59K","1,44%"
"01. Okt. 2018","24,340","26,730","27,860","25,620","0,12K","-10,94%"
"01. Sept. 2018","27,330","26,960","29,560","26,660","0,94K","5,77%"
"01. Aug. 2018","25,840","22,000","26,020","22,000","0,22K","16,87%"
"01. Juli 2018","22,110","22,300","22,300","22,300","0,02K","1,05%"
"01. Juni 2018","21,880","21,630","21,630","21,630","0,04K","-3,10%"
"01. Mai 2018","22,580","21,140","22,260","20,840","0,09K","9,82%"
"01. Apr. 2018","20,560","19,520","19,840","19,520","0,07K","12,78%"
"01. März 2018","18,230","18,230","18,230","18,230","0,18K","5,07%"
"01. Feb. 2018","17,350","17,350","17,350","17,350","","-2,96%"
"01. Jan. 2018","17,880","17,880","17,880","17,880","","-8,87%"
