freq,nrg_bal,unit,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,REN,PC,AL	31.187 	35.152 	33.167 	31.856 	34.913 	36.953 	35.777 	36.572 	38.042 	45.015 
A,REN,PC,AT	31.552 	32.734 	32.665 	33.550 	33.498 	33.370 	33.137 	33.784 	33.755 	36.545 
A,REN,PC,BA	17.995 	18.014 	19.307 	24.873 	26.607 	25.358 	23.241 	35.972 	37.578 	: 
A,REN,PC,BE	6.302 	7.086 	7.671 	8.038 	8.060 	8.744 	9.136 	9.472 	9.929 	13.000 
A,REN,PC,BG	14.152 	15.837 	18.898 	18.050 	18.261 	18.760 	18.695 	20.581 	21.546 	23.319 
A,REN,PC,CY	6.245 	7.111 	8.428 	9.144 	9.903 	9.833 	10.478 	13.873 	13.777 	16.879 
A,REN,PC,CZ	10.945 	12.814 	13.927 	15.074 	15.070 	14.926 	14.799 	15.140 	16.239 	17.303 
A,REN,PC,DE	12.470 	13.549 	13.760 	14.385 	14.906 	14.889 	15.476 	16.660 	17.266 	19.312 
A,REN,PC,DK	23.389 	25.465 	27.173 	29.310 	30.469 	31.715 	34.387 	35.160 	37.020 	31.681 
A,REN,PC,EA19	13.114 	14.604 	15.228 	16.032 	16.439 	16.651 	17.222 	17.719 	18.499 	20.951 
A,REN,PC,EE	25.515 	25.586 	25.356 	26.130 	28.987 	29.232 	29.538 	29.970 	31.730 	30.069 
A,REN,PC,EL	11.153 	13.741 	15.326 	15.683 	15.690 	15.391 	17.300 	18.001 	19.633 	21.749 
A,REN,PC,ES	13.176 	14.239 	15.081 	15.880 	16.221 	17.015 	17.118 	17.023 	17.852 	21.220 
A,REN,PC,EU27_2020	14.547 	16.002 	16.660 	17.417 	17.821 	17.980 	18.412 	19.096 	19.885 	22.090 
A,REN,PC,FI	32.532 	34.222 	36.630 	38.632 	39.228 	38.942 	40.855 	41.182 	42.723 	43.802 
A,REN,PC,FR	10.813 	13.239 	13.880 	14.362 	14.803 	15.451 	15.847 	16.384 	17.174 	19.109 
A,REN,PC,HR	25.389 	26.757 	28.040 	27.817 	28.969 	28.266 	27.280 	28.047 	28.466 	31.023 
A,REN,PC,HU	13.972 	15.530 	16.205 	14.618 	14.495 	14.377 	13.556 	12.549 	12.634 	13.850 
A,REN,PC,IE	6.605 	7.029 	7.521 	8.516 	9.083 	9.189 	10.520 	10.942 	11.979 	16.160 
A,REN,PC,IS	72.298 	73.727 	73.788 	73.043 	71.949 	75.329 	74.104 	77.173 	78.612 	83.725 
A,REN,PC,IT	12.881 	15.441 	16.741 	17.082 	17.526 	17.415 	18.267 	17.796 	18.181 	20.359 
A,REN,PC,LT	19.943 	21.437 	22.689 	23.592 	25.748 	25.613 	26.038 	24.695 	25.475 	26.773 
A,REN,PC,LU	2.855 	3.112 	3.494 	4.471 	4.987 	5.364 	6.194 	8.942 	7.046 	11.699 
A,REN,PC,LV	33.478 	35.709 	37.037 	38.629 	37.538 	37.138 	39.008 	40.019 	40.929 	42.132 
A,REN,PC,MD	22.081 	24.328 	24.420 	26.169 	26.173 	26.888 	27.836 	27.476 	23.844 	25.057 
A,REN,PC,ME	40.648 	41.513 	43.696 	44.098 	43.073 	41.529 	39.693 	38.801 	37.722 	43.770 
A,REN,PC,MK	16.407 	18.128 	18.509 	19.559 	19.526 	18.044 	19.636 	18.179 	17.485 	19.222 
A,REN,PC,MT	1.850 	2.862 	3.760 	4.744 	5.119 	6.208 	7.219 	7.914 	8.230 	10.714 
A,REN,PC,NL	4.524 	4.659 	4.691 	5.415 	5.714 	5.846 	6.507 	7.394 	8.886 	13.999 
A,REN,PC,NO	64.638 	64.932 	66.480 	68.406 	68.545 	69.235 	70.036 	71.566 	74.406 	77.358 
A,REN,PC,PL	10.337 	10.955 	11.452 	11.605 	11.881 	11.396 	11.059 	14.936 	15.377 	16.102 
A,REN,PC,PT	24.603 	24.574 	25.700 	29.508 	30.514 	30.864 	30.611 	30.203 	30.623 	33.982 
A,REN,PC,RO	21.743 	22.825 	23.886 	24.845 	24.785 	25.032 	24.454 	23.875 	24.290 	24.478 
A,REN,PC,RS	19.118 	20.790 	21.095 	22.864 	21.989 	21.147 	20.287 	20.320 	21.443 	25.983 
A,REN,PC,SE	47.632 	49.403 	50.153 	51.151 	52.220 	52.597 	53.390 	53.916 	55.785 	60.124 
A,REN,PC,SI	20.937 	21.551 	23.161 	22.459 	22.879 	21.975 	21.658 	21.378 	21.968 	25.000 
A,REN,PC,SK	10.348 	10.453 	10.133 	11.713 	12.883 	12.029 	11.465 	11.896 	16.894 	17.345 
A,REN,PC,UK	4.392 	4.461 	5.524 	6.737 	8.385 	9.032 	9.858 	11.138 	12.336 	: 
A,REN,PC,XK	17.598 	18.625 	18.823 	19.544 	18.484 	24.472 	23.082 	24.616 	24.215 	24.401 
